CID,MolecularFormula,CanonicalSMILES,InChI,InChIKey,IUPACName,nm_unique
7964,C6H5Cl,C1=CC=C(C=C1)Cl,InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,MVPPADPHJFYWMZ-UHFFFAOYSA-N,chlorobenzene,chlorobenzene
7500,C8H10,CCC1=CC=CC=C1,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3",YNQLUTRBYVCPMQ-UHFFFAOYSA-N,ethylbenzene,ethylbenzene
7809,C8H10,CC1=CC=C(C=C1)C,"InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3",URLKBWYHVLBVBO-UHFFFAOYSA-N,"1,4-xylene",p-xylene
7961,C6H5Br,C1=CC=C(C=C1)Br,InChI=1S/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H,QARVLSVVCXYDNA-UHFFFAOYSA-N,bromobenzene,bromobenzene
7668,C9H12,CCCC1=CC=CC=C1,"InChI=1S/C9H12/c1-2-6-9-7-4-3-5-8-9/h3-5,7-8H,2,6H2,1H3",ODLMAHJVESYWTB-UHFFFAOYSA-N,propylbenzene,propylbenzene
7810,C7H7Cl,CC1=CC=C(C=C1)Cl,"InChI=1S/C7H7Cl/c1-6-2-4-7(8)5-3-6/h2-5H,1H3",NPDACUSDTOMAMK-UHFFFAOYSA-N,1-chloro-4-methylbenzene,4-chlorotoluene
996,C6H6O,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,phenol
7505,C7H5N,C1=CC=C(C=C1)C#N,InChI=1S/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H,JFDZBHWFFUWGJE-UHFFFAOYSA-N,benzonitrile,benzonitrile
9732,C6H5FO,C1=CC(=CC=C1O)F,"InChI=1S/C6H5FO/c7-5-1-3-6(8)4-2-5/h1-4,8H",RHMPLDJJXGPMEX-UHFFFAOYSA-N,4-fluorophenol,4-fluorophenol
244,C7H8O,C1=CC=C(C=C1)CO,"InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",WVDDGKGOMKODPV-UHFFFAOYSA-N,phenylmethanol,benzyl alcohol
11575,C6H5I,C1=CC=C(C=C1)I,InChI=1S/C6H5I/c7-6-4-2-1-3-5-6/h1-5H,SNHMUERNLJLMHN-UHFFFAOYSA-N,iodobenzene,iodobenzene
7410,C8H8O,CC(=O)C1=CC=CC=C1,"InChI=1S/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6H,1H3",KWOLFJPFCHCOCG-UHFFFAOYSA-N,1-phenylethanone,acetophenone
342,C7H8O,CC1=CC(=CC=C1)O,"InChI=1S/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3",RLSSMJSEOOYNOY-UHFFFAOYSA-N,3-methylphenol,3-methylphenol
7150,C8H8O2,COC(=O)C1=CC=CC=C1,"InChI=1S/C8H8O2/c1-10-8(9)7-5-3-2-4-6-7/h2-6H,1H3",QPJVMBTYPHYUOC-UHFFFAOYSA-N,methyl benzoate,methyl benzoate
12167,C7H7ClO,COC1=CC=C(C=C1)Cl,"InChI=1S/C7H7ClO/c1-9-7-4-2-6(8)3-5-7/h2-5H,1H3",YRGAYAGBVIXNAQ-UHFFFAOYSA-N,1-chloro-4-methoxybenzene,4-chloroanisole
6054,C8H10O,C1=CC=C(C=C1)CCO,"InChI=1S/C8H10O/c9-7-6-8-4-2-1-3-5-8/h1-5,9H,6-7H2",WRMNZCZEMHIOCP-UHFFFAOYSA-N,2-phenylethanol,phenethyl alcohol
11476,C8H10O,CC1=CC(=CC=C1)CO,"InChI=1S/C8H10O/c1-7-3-2-4-8(5-7)6-9/h2-5,9H,6H2,1H3",JJCKHVUTVOPLBV-UHFFFAOYSA-N,(3-methylphenyl)methanol,3-methylbenzyl alcohol
31242,C8H10O,CCC1=CC=C(C=C1)O,"InChI=1S/C8H10O/c1-2-7-3-5-8(9)6-4-7/h3-6,9H,2H2,1H3",HXDOZKJGKXYMEW-UHFFFAOYSA-N,4-ethylphenol,4-ethylphenol
7948,C8H10O,CC1=CC(=CC(=C1)O)C,"InChI=1S/C8H10O/c1-6-3-7(2)5-8(9)4-6/h3-5,9H,1-2H3",TUAMRELNJMMDMT-UHFFFAOYSA-N,"3,5-dimethylphenol","3,5-dimethylphenol"
7165,C9H10O2,CCOC(=O)C1=CC=CC=C1,"InChI=1S/C9H10O2/c1-2-11-9(10)8-6-4-3-5-7-8/h3-7H,2H2,1H3",MTZQAGJQAFMTAQ-UHFFFAOYSA-N,ethyl benzoate,ethyl benzoate
33094,C9H10O2,CC1=CC=CC=C1C(=O)OC,"InChI=1S/C9H10O2/c1-7-5-3-4-6-8(7)9(10)11-2/h3-6H,1-2H3",WVWZECQNFWFVFW-UHFFFAOYSA-N,methyl 2-methylbenzoate,methyl 2-methylbenzoate
931,C10H8,C1=CC=C2C=CC=CC2=C1,InChI=1S/C10H8/c1-2-6-10-8-4-3-7-9(10)5-1/h1-8H,UFWIBTONFRDIAS-UHFFFAOYSA-N,naphthalene,naphthalene
7933,C6H5ClO,C1=CC(=CC(=C1)Cl)O,"InChI=1S/C6H5ClO/c7-5-2-1-3-6(8)4-5/h1-4,8H",HORNXRXVQWOLPJ-UHFFFAOYSA-N,3-chlorophenol,3-chlorophenol
7473,C7H7NO2,CC1=CC=C(C=C1)[N+](=O)[O-],"InChI=1S/C7H7NO2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3",ZPTVNYMJQHSSEA-UHFFFAOYSA-N,1-methyl-4-nitrobenzene,4-nitrotoluene
7467,C8H7ClO,CC(=O)C1=CC=C(C=C1)Cl,"InChI=1S/C8H7ClO/c1-6(10)7-2-4-8(9)5-3-7/h2-5H,1H3",BUZYGTVTZYSBCU-UHFFFAOYSA-N,1-(4-chlorophenyl)ethanone,4-chloroacetophenone
11563,C6H5BrO,C1=CC(=CC(=C1)Br)O,"InChI=1S/C6H5BrO/c7-5-2-1-3-6(8)4-5/h1-4,8H",MNOJRWOWILAHAV-UHFFFAOYSA-N,3-bromophenol,3-bromophenol
7002,C11H10,CC1=CC=CC2=CC=CC=C12,"InChI=1S/C11H10/c1-9-5-4-7-10-6-2-3-8-11(9)10/h2-8H,1H3",QPUYECUOLPXSFR-UHFFFAOYSA-N,1-methylnaphthalene,1-methylnaphthalene
7416,C6H5NO2,C1=CC=C(C=C1)[N+](=O)[O-],InChI=1S/C6H5NO2/c8-7(9)6-4-2-1-3-5-6/h1-5H,LQNUZADURLCDLV-UHFFFAOYSA-N,nitrobenzene,nitrobenzene
5974,C19H42BrN,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"InChI=1S/C19H42N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(2,3)4;/h5-19H2,1-4H3;1H/q+1;/p-1",LZZYPRNAOMGNLH-UHFFFAOYSA-M,hexadecyl(trimethyl)azanium;bromide,CTAB
6224,C6H5Na3O7,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Na+].[Na+].[Na+],"InChI=1S/C6H8O7.3Na/c7-3(8)1-6(13,5(11)12)2-4(9)10;;;/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12);;;/q;3*+1/p-3",HRXKRNGNAMMEHJ-UHFFFAOYSA-K,"trisodium;2-hydroxypropane-1,2,3-tricarboxylate",sodium citrate
543502,C11H22O2S,C(CCCCCS)CCCCC(=O)O,"InChI=1S/C11H22O2S/c12-11(13)9-7-5-3-1-2-4-6-8-10-14/h14H,1-10H2,(H,12,13)",GWOLZNVIRIHJHB-UHFFFAOYSA-N,11-sulfanylundecanoic acid,11-mercaptoundecanoic acid
6917,C6H9NO,C=CN1CCCC1=O,"InChI=1S/C6H9NO/c1-2-7-5-3-4-6(7)8/h2H,1,3-5H2",WHNWPMSKXPGLAX-UHFFFAOYSA-N,1-ethenylpyrrolidin-2-one,PVP
1133,C2H4O2S,C(C(=O)O)S,"InChI=1S/C2H4O2S/c3-2(4)1-5/h5H,1H2,(H,3,4)",CWERGRDVMFNCDR-UHFFFAOYSA-N,2-sulfanylacetic acid,thioglycolic acid
439341,C12H22O11,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,"InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5-,6+,7-,8-,9-,10-,11+,12-/m1/s1",GUBGYTABKSRVRQ-ASMJPISFSA-N,"(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6S)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol",potato starch
31348,C6H5O7-3,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)/p-3",KRKNYBCHXYNGOX-UHFFFAOYSA-K,"2-hydroxypropane-1,2,3-tricarboxylate",citrate
6917,C6H9NO,C=CN1CCCC1=O,"InChI=1S/C6H9NO/c1-2-7-5-3-4-6(7)8/h2H,1,3-5H2",WHNWPMSKXPGLAX-UHFFFAOYSA-N,1-ethenylpyrrolidin-2-one,polyvinylpyrrolidone
3748064,C5H11NO2,C1COC(CO1)CN,"InChI=1S/C5H11NO2/c6-3-5-4-7-1-2-8-5/h5H,1-4,6H2",PREOONMJIVUPMI-UHFFFAOYSA-N,"1,4-dioxan-2-ylmethanamine","1,4-dioxan-2-ylmethanamine"
91550,C3H5NO2,C1C(O1)C(=O)N,"InChI=1S/C3H5NO2/c4-3(5)2-1-6-2/h2H,1H2,(H2,4,5)",FMAZQSYXRGRESX-UHFFFAOYSA-N,oxirane-2-carboxamide,glycidamide
5355751,C5H9NO,CC(=CC(=O)C)N,"InChI=1S/C5H9NO/c1-4(6)3-5(2)7/h3H,6H2,1-2H3/b4-3-",OSLAYKKXCYSJSF-ARJAWSKDSA-N,(Z)-4-aminopent-3-en-2-one,4-amino-3-penten-2-one
5367854,C5H9NO,CC(=CC(=O)C)N,"InChI=1S/C5H9NO/c1-4(6)3-5(2)7/h3H,6H2,1-2H3/b4-3+",OSLAYKKXCYSJSF-ONEGZZNKSA-N,(E)-4-aminopent-3-en-2-one,4-amino-3-penten-2-one
136873,C5H9NO,CC(=CC(=O)C)N,"InChI=1S/C5H9NO/c1-4(6)3-5(2)7/h3H,6H2,1-2H3",OSLAYKKXCYSJSF-UHFFFAOYSA-N,4-aminopent-3-en-2-one,4-amino-3-penten-2-one
16773849,C7H9N3O,C1=CC(=CC(=C1)N)C(=NO)N,"InChI=1S/C7H9N3O/c8-6-3-1-2-5(4-6)7(9)10-11/h1-4,11H,8H2,(H2,9,10)",OPGWBTKZYLRPRW-UHFFFAOYSA-N,3-amino-N'-hydroxybenzenecarboximidamide,3-aminobenzamide oxime
17749886,C3H10ClNO2S,CS(=O)(=O)CCN.Cl,"InChI=1S/C3H9NO2S.ClH/c1-7(5,6)3-2-4;/h2-4H2,1H3;1H",AMYYUKGKCJKCBI-UHFFFAOYSA-N,2-methylsulfonylethanamine;hydrochloride,2-aminoethylmethylsulfone hydrochloride
445639,C18H34O2,CCCCCCCCC=CCCCCCCCC(=O)O,"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9-",ZQPPMHVWECSIRJ-KTKRTIGZSA-N,(Z)-octadec-9-enoic acid,oleic acid
379,C8H16O2,CCCCCCCC(=O)O,"InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10)",WWZKQHOCKIZLMA-UHFFFAOYSA-N,octanoic acid,octanoic acid
6108,C7H5NO4,C1=CC(=CC=C1C(=O)O)[N+](=O)[O-],"InChI=1S/C7H5NO4/c9-7(10)5-1-3-6(4-2-5)8(11)12/h1-4H,(H,9,10)",OTLNPYWUJOZPPA-UHFFFAOYSA-N,4-nitrobenzoic acid,para-nitrobenzoic acid
243,C7H6O2,C1=CC=C(C=C1)C(=O)O,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)",WPYMKLBDIGXBTP-UHFFFAOYSA-N,benzoic acid,benzoic acid
12035,C5H9NO3S,CC(=O)NC(CS)C(=O)O,"InChI=1S/C5H9NO3S/c1-3(7)6-4(2-10)5(8)9/h4,10H,2H2,1H3,(H,6,7)(H,8,9)/t4-/m0/s1",PWKSKIMOESPYIA-BYPYZUCNSA-N,(2R)-2-acetamido-3-sulfanylpropanoic acid,N-Acetyl-L-cysteine
12841471,C6H15NS,C(CCCS)CCN,"InChI=1S/C6H15NS/c7-5-3-1-2-4-6-8/h8H,1-7H2",WYYXDSQOPIGZPU-UHFFFAOYSA-N,6-aminohexane-1-thiol,6-Amino-1-hexanethiol
10352850,C11H25NS,C(CCCCCN)CCCCCS,"InChI=1S/C11H25NS/c12-10-8-6-4-2-1-3-5-7-9-11-13/h13H,1-12H2",DIXRLQJYISYSEL-UHFFFAOYSA-N,11-aminoundecane-1-thiol,11-Amino-1-undecanethiol
31348,C6H5O7-3,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)/p-3",KRKNYBCHXYNGOX-UHFFFAOYSA-K,"2-hydroxypropane-1,2,3-tricarboxylate",Citrate
5974,C19H42BrN,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"InChI=1S/C19H42N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(2,3)4;/h5-19H2,1-4H3;1H/q+1;/p-1",LZZYPRNAOMGNLH-UHFFFAOYSA-M,hexadecyl(trimethyl)azanium;bromide,Hexadecyltrimethylammonium bromide
10154203,C7H16O4,CC(COCCO)OCCO,"InChI=1S/C7H16O4/c1-7(11-5-3-9)6-10-4-2-8/h7-9H,2-6H2,1H3",OQNWUUGFAWNUME-UHFFFAOYSA-N,2-[2-(2-hydroxyethoxy)propoxy]ethanol,Pluronic F-127
8926,C16H35N,CCCCCCCCCCCCCCCCN,"InChI=1S/C16H35N/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17/h2-17H2,1H3",FJLUATLTXUNBOT-UHFFFAOYSA-N,hexadecan-1-amine,Hexadecylamine
1133,C2H4O2S,C(C(=O)O)S,"InChI=1S/C2H4O2S/c3-2(4)1-5/h5H,1H2,(H,3,4)",CWERGRDVMFNCDR-UHFFFAOYSA-N,2-sulfanylacetic acid,Mercaptoacetic acid
95738,C7H6O2S,C1=CC(=CC=C1C(=O)O)S,"InChI=1S/C7H6O2S/c8-7(9)5-1-3-6(10)4-2-5/h1-4,10H,(H,8,9)",LMJXSOYPAOSIPZ-UHFFFAOYSA-N,4-sulfanylbenzoic acid,4-Mercaptobenzoic acid
598,C2H6O3S2,C(CS(=O)(=O)O)S,"InChI=1S/C2H6O3S2/c3-7(4,5)2-1-6/h6H,1-2H2,(H,3,4,5)",ZNEWHQLOPFWXOF-UHFFFAOYSA-N,2-sulfanylethanesulfonic acid,2-Mercaptoethanesulfonate
4077,C2H5O3S2-,C(CS(=O)(=O)[O-])S,"InChI=1S/C2H6O3S2/c3-7(4,5)2-1-6/h6H,1-2H2,(H,3,4,5)/p-1",ZNEWHQLOPFWXOF-UHFFFAOYSA-M,2-sulfanylethanesulfonate,2-Mercaptoethanesulfonate
329113,C6H12O2S,C(CCC(=O)O)CCS,"InChI=1S/C6H12O2S/c7-6(8)4-2-1-3-5-9/h9H,1-5H2,(H,7,8)",CMNQZZPAVNBESS-UHFFFAOYSA-N,6-sulfanylhexanoic acid,6-Mercaptohexanoic acid
3522585,C16H32O2S,C(CCCCCCCC(=O)O)CCCCCCCS,"InChI=1S/C16H32O2S/c17-16(18)14-12-10-8-6-4-2-1-3-5-7-9-11-13-15-19/h19H,1-15H2,(H,17,18)",INOAASCWQMFJQA-UHFFFAOYSA-N,16-sulfanylhexadecanoic acid,16-Mercaptohexadecanoic acid
6514,C3H6O2S,C(CS)C(=O)O,"InChI=1S/C3H6O2S/c4-3(5)1-2-6/h6H,1-2H2,(H,4,5)",DKIDEFUBRARXTE-UHFFFAOYSA-N,3-sulfanylpropanoic acid,3-Mercaptopropionic acid
6268,C4H6O4S,C(C(C(=O)O)S)C(=O)O,"InChI=1S/C4H6O4S/c5-3(6)1-2(9)4(7)8/h2,9H,1H2,(H,5,6)(H,7,8)",NJRXVEJTAYWCQJ-UHFFFAOYSA-N,2-sulfanylbutanedioic acid,Mercaptosuccinic acid
543502,C11H22O2S,C(CCCCCS)CCCCC(=O)O,"InChI=1S/C11H22O2S/c12-11(13)9-7-5-3-1-2-4-6-8-10-14/h14H,1-10H2,(H,12,13)",GWOLZNVIRIHJHB-UHFFFAOYSA-N,11-sulfanylundecanoic acid,11-Mercaptoundecanoic acid
15793,C18H39N,CCCCCCCCCCCCCCCCCCN,"InChI=1S/C18H39N/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19/h2-19H2,1H3",REYJJPSVUYRZGE-UHFFFAOYSA-N,octadecan-1-amine,Octadecylamine
6140,C9H11NO2,C1=CC=C(C=C1)CC(C(=O)O)N,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",COLNVLDHVKWLRT-QMMMGPOBSA-N,(2S)-2-amino-3-phenylpropanoic acid,L-Phenylalanine
11199,C2H4O,C=CO,"InChI=1S/C2H4O/c1-2-3/h2-3H,1H2",IMROMDMJAWUWLK-UHFFFAOYSA-N,ethenol,Poly(vinyl alcohol)
5281,C18H36O2,CCCCCCCCCCCCCCCCCC(=O)O,"InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)",QIQXTHQIDYTFRH-UHFFFAOYSA-N,octadecanoic acid,Stearic acid
5483,C5H9NO3S,CC(C(=O)NCC(=O)O)S,"InChI=1S/C5H9NO3S/c1-3(10)5(9)6-2-4(7)8/h3,10H,2H2,1H3,(H,6,9)(H,7,8)",YTGJWQPHMWSCST-UHFFFAOYSA-N,2-(2-sulfanylpropanoylamino)acetic acid,N-(2-Mercaptopropionyl)glycine
24261,O2Si,O=[Si]=O,InChI=1S/O2Si/c1-3-2,VYPSYNLAJGMNEJ-UHFFFAOYSA-N,dioxosilane,silica (SIO2)
866,C6H14N2O2,C(CCN)CC(C(=O)O)N,"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)",KDXKERNSBIXSRK-UHFFFAOYSA-N,"2,6-diaminohexanoic acid",NCCCCC(N)C(O)=O
587821,C8H8ClNO2,C1=CC(=CC=C1C(C(=O)O)N)Cl,"InChI=1S/C8H8ClNO2/c9-6-3-1-5(2-4-6)7(10)8(11)12/h1-4,7H,10H2,(H,11,12)",QGJGBYXRJVIYGA-UHFFFAOYSA-N,2-amino-2-(4-chlorophenyl)acetic acid,NC(C(O)=O)c1ccc(Cl)cc1
0,,,,,,CC(NC(=O)OC3C1C=CC=CC1C2C=CC=CC23)C(=O)Nc4ccccc4
0,,,,,,CCOC(=O)c4ccc(NC(=O)C(C)NC(=O)OC3C1C=CC=CC1C2C=CC=CC23)cc4
303942,C9H12N2O,CC(C(=O)NC1=CC=CC=C1)N,"InChI=1S/C9H12N2O/c1-7(10)9(12)11-8-5-3-2-4-6-8/h2-7H,10H2,1H3,(H,11,12)",RUBYQYMLYZMHQR-UHFFFAOYSA-N,2-amino-N-phenylpropanamide,CC(N)C(=O)Nc1ccccc1
3496505,C10H14N2O,CC(C(=O)NCC1=CC=CC=C1)N,"InChI=1S/C10H14N2O/c1-8(11)10(13)12-7-9-5-3-2-4-6-9/h2-6,8H,7,11H2,1H3,(H,12,13)",VRHPVAHXPQMOJZ-UHFFFAOYSA-N,2-amino-N-benzylpropanamide,CC(N)C(=O)NCc1ccccc1
0,,,,,,CCCCNC(=O)C(C)NC(=O)c1cccc(N(=O)=O)c1
47099540,C14H19ClN2O2,CCCCNC(=O)C(C)NC(=O)C1=CC=C(C=C1)Cl,"InChI=1S/C14H19ClN2O2/c1-3-4-9-16-13(18)10(2)17-14(19)11-5-7-12(15)8-6-11/h5-8,10H,3-4,9H2,1-2H3,(H,16,18)(H,17,19)",QEYFWMLKWOQGJG-UHFFFAOYSA-N,N-[1-(butylamino)-1-oxopropan-2-yl]-4-chlorobenzamide,CCCCNC(=O)C(C)NC(=O)c1ccc(Cl)cc1
0,,,,,,CCCCNC(=O)C(C)NS(=O)(=O)c1cccc(N(=O)=O)c1
0,,,,,,CCCCN(CCCC)C(=O)C(C)NC(=O)c1ccc(Cl)cc1
0,,,,,,CCCCN(CCCC)C(=O)C(C)NS(=O)(=O)c1ccccc1
0,,,,,,CCCCN(CCCC)C(=O)C(C)NS(=O)(=O)c1ccc(C)cc1
0,,,,,,CCCCN(CCCC)C(=O)C(C)NS(=O)(=O)c1cccc(N(=O)=O)c1
24101749,C16H22N2O2,CC(C(=O)NC1CCCCC1)NC(=O)C2=CC=CC=C2,"InChI=1S/C16H22N2O2/c1-12(15(19)18-14-10-6-3-7-11-14)17-16(20)13-8-4-2-5-9-13/h2,4-5,8-9,12,14H,3,6-7,10-11H2,1H3,(H,17,20)(H,18,19)",OGLGYHVHKPAWKX-UHFFFAOYSA-N,N-[1-(cyclohexylamino)-1-oxopropan-2-yl]benzamide,CC(NC(=O)c1ccccc1)C(=O)NC2CCCCC2
51148039,C16H21N3O4,CC(C(=O)NC1CCCCC1)NC(=O)C2=CC(=CC=C2)[N+](=O)[O-],"InChI=1S/C16H21N3O4/c1-11(15(20)18-13-7-3-2-4-8-13)17-16(21)12-6-5-9-14(10-12)19(22)23/h5-6,9-11,13H,2-4,7-8H2,1H3,(H,17,21)(H,18,20)",PPPPTMYETXWEBI-UHFFFAOYSA-N,N-[1-(cyclohexylamino)-1-oxopropan-2-yl]-3-nitrobenzamide,CC(NC(=O)c1cccc(N(=O)=O)c1)C(=O)NC2CCCCC2
4528484,C15H22N2O3S,CC(C(=O)NC1CCCCC1)NS(=O)(=O)C2=CC=CC=C2,"InChI=1S/C15H22N2O3S/c1-12(15(18)16-13-8-4-2-5-9-13)17-21(19,20)14-10-6-3-7-11-14/h3,6-7,10-13,17H,2,4-5,8-9H2,1H3,(H,16,18)",NIGWLYNGGPHGND-UHFFFAOYSA-N,2-(benzenesulfonamido)-N-cyclohexylpropanamide,CC(NS(=O)(=O)c1ccccc1)C(=O)NC2CCCCC2
0,,,,,,CC(NS(=O)(=O)c1cccc(N(=O)=O)c1)C(=O)NC2CCCCC2
51148259,C16H15N3O4,CC(C(=O)NC1=CC=CC=C1)NC(=O)C2=CC(=CC=C2)[N+](=O)[O-],"InChI=1S/C16H15N3O4/c1-11(15(20)18-13-7-3-2-4-8-13)17-16(21)12-6-5-9-14(10-12)19(22)23/h2-11H,1H3,(H,17,21)(H,18,20)",QYSPLHMKDQEYKI-UHFFFAOYSA-N,N-(1-anilino-1-oxopropan-2-yl)-3-nitrobenzamide,CC(NC(=O)c1cccc(N(=O)=O)c1)C(=O)Nc2ccccc2
51148276,C16H15ClN2O2,CC(C(=O)NC1=CC=CC=C1)NC(=O)C2=CC=C(C=C2)Cl,"InChI=1S/C16H15ClN2O2/c1-11(15(20)19-14-5-3-2-4-6-14)18-16(21)12-7-9-13(17)10-8-12/h2-11H,1H3,(H,18,21)(H,19,20)",NHTDHCPULIIAGG-UHFFFAOYSA-N,N-(1-anilino-1-oxopropan-2-yl)-4-chlorobenzamide,CC(NC(=O)c1ccc(Cl)cc1)C(=O)Nc2ccccc2
3618978,C15H16N2O3S,CC(C(=O)NC1=CC=CC=C1)NS(=O)(=O)C2=CC=CC=C2,"InChI=1S/C15H16N2O3S/c1-12(15(18)16-13-8-4-2-5-9-13)17-21(19,20)14-10-6-3-7-11-14/h2-12,17H,1H3,(H,16,18)",KYGTWPNVTFXOBW-UHFFFAOYSA-N,2-(benzenesulfonamido)-N-phenylpropanamide,CC(NS(=O)(=O)c1ccccc1)C(=O)Nc2ccccc2
5205930,C16H18N2O3S,CC1=CC=C(C=C1)S(=O)(=O)NC(C)C(=O)NC2=CC=CC=C2,"InChI=1S/C16H18N2O3S/c1-12-8-10-15(11-9-12)22(20,21)18-13(2)16(19)17-14-6-4-3-5-7-14/h3-11,13,18H,1-2H3,(H,17,19)",RQSWSXREMJDMHG-UHFFFAOYSA-N,2-[(4-methylphenyl)sulfonylamino]-N-phenylpropanamide,Cc2ccc(S(=O)(=O)NC(C)C(=O)Nc1ccccc1)cc2
0,,,,,,CC(NS(=O)(=O)c1cccc(N(=O)=O)c1)C(=O)Nc2ccccc2
46744931,C17H17ClN2O2,CC(C(=O)NCC1=CC=CC=C1)NC(=O)C2=CC=C(C=C2)Cl,"InChI=1S/C17H17ClN2O2/c1-12(16(21)19-11-13-5-3-2-4-6-13)20-17(22)14-7-9-15(18)10-8-14/h2-10,12H,11H2,1H3,(H,19,21)(H,20,22)",WRGSMLYGCIHJOA-UHFFFAOYSA-N,N-[1-(benzylamino)-1-oxopropan-2-yl]-4-chlorobenzamide,CC(NC(=O)c1ccc(Cl)cc1)C(=O)NCc2ccccc2
0,,,,,,CC(NS(=O)(=O)c1cccc(N(=O)=O)c1)C(=O)NCc2ccccc2
51147965,C14H17N3O4,CC(C(=O)N1CCCC1)NC(=O)C2=CC(=CC=C2)[N+](=O)[O-],"InChI=1S/C14H17N3O4/c1-10(14(19)16-7-2-3-8-16)15-13(18)11-5-4-6-12(9-11)17(20)21/h4-6,9-10H,2-3,7-8H2,1H3,(H,15,18)",RPAKDCYGEKRMCM-UHFFFAOYSA-N,3-nitro-N-(1-oxo-1-pyrrolidin-1-ylpropan-2-yl)benzamide,CC(NC(=O)c1cccc(N(=O)=O)c1)C(=O)N2CCCC2
47097636,C14H17ClN2O2,CC(C(=O)N1CCCC1)NC(=O)C2=CC=C(C=C2)Cl,"InChI=1S/C14H17ClN2O2/c1-10(14(19)17-8-2-3-9-17)16-13(18)11-4-6-12(15)7-5-11/h4-7,10H,2-3,8-9H2,1H3,(H,16,18)",WINXGOCJPRCJSG-UHFFFAOYSA-N,4-chloro-N-(1-oxo-1-pyrrolidin-1-ylpropan-2-yl)benzamide,CC(NC(=O)c1ccc(Cl)cc1)C(=O)N2CCCC2
0,,,,,,CC(NS(=O)(=O)c1cccc(N(=O)=O)c1)C(=O)N2CCCC2
60407577,C19H19ClN2O4,CCOC(=O)C1=CC=C(C=C1)NC(=O)C(C)NC(=O)C2=CC=C(C=C2)Cl,"InChI=1S/C19H19ClN2O4/c1-3-26-19(25)14-6-10-16(11-7-14)22-17(23)12(2)21-18(24)13-4-8-15(20)9-5-13/h4-12H,3H2,1-2H3,(H,21,24)(H,22,23)",YWRCPSRSGNWABQ-UHFFFAOYSA-N,ethyl 4-[2-[(4-chlorobenzoyl)amino]propanoylamino]benzoate,CCOC(=O)c2ccc(NC(=O)C(C)NC(=O)c1ccc(Cl)cc1)cc2
