CID,MolecularFormula,CanonicalSMILES,InChI,InChIKey,IUPACName,nm_unique
12475,C8H8O3,C1CCC2=C(C1)C(=O)OC2=O,InChI=1S/C8H8O3/c9-7-5-3-1-2-4-6(5)8(10)11-7/h1-4H2,HMMBJOWWRLZEMI-UHFFFAOYSA-N,"4,5,6,7-tetrahydro-2-benzofuran-1,3-dione","4,5,6,7-Tetrahydro-2-benzofuran-1,3-dione"
95411,C8H8O7,CC(=O)OC1C(C(=O)OC1=O)OC(=O)C,"InChI=1S/C8H8O7/c1-3(9)13-5-6(14-4(2)10)8(12)15-7(5)11/h5-6H,1-2H3",XAKITKDHDMPGPW-UHFFFAOYSA-N,"(4-acetyloxy-2,5-dioxooxolan-3-yl) acetate","2,5-Dioxotetrahydrofuran-3,4-diyl diacetate"
12443,C8Br4O3,C12=C(C(=C(C(=C1Br)Br)Br)Br)C(=O)OC2=O,InChI=1S/C8Br4O3/c9-3-1-2(8(14)15-7(1)13)4(10)6(12)5(3)11,QHWKHLYUUZGSCW-UHFFFAOYSA-N,"4,5,6,7-tetrabromo-2-benzofuran-1,3-dione","4,5,6,7-Tetrabromo-2-benzofuran-1,3-dione"
85689,C8H10O3,C1CCC2C(C1)C(=O)OC2=O,"InChI=1S/C8H10O3/c9-7-5-3-1-2-4-6(5)8(10)11-7/h5-6H,1-4H2",MUTGBJKUEZFXGO-UHFFFAOYSA-N,"3a,4,5,6,7,7a-hexahydro-2-benzofuran-1,3-dione","Hexahydro-2-benzofuran-1,3-dione"
2733254,C4H4I2O3,C(C(=O)OC(=O)CI)I,InChI=1S/C4H4I2O3/c5-1-3(7)9-4(8)2-6/h1-2H2,RBNSZWOCWHGHMR-UHFFFAOYSA-N,(2-iodoacetyl) 2-iodoacetate,Iodoacetic anhydride
10946,C4H4Cl2O3,C(C(=O)OC(=O)CCl)Cl,InChI=1S/C4H4Cl2O3/c5-1-3(7)9-4(8)2-6/h1-2H2,PNVPNXKRAUBJGW-UHFFFAOYSA-N,(2-chloroacetyl) 2-chloroacetate,Chloroacetic anhydride
8265,C9H2Cl6O3,C12C(C(=O)OC1=O)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,"InChI=1S/C9H2Cl6O3/c10-3-4(11)8(13)2-1(5(16)18-6(2)17)7(3,12)9(8,14)15/h1-2H",FLBJFXNAEMSXGL-UHFFFAOYSA-N,"1,7,8,9,10,10-hexachloro-4-oxatricyclo[5.2.1.02,6]dec-8-ene-3,5-dione","1,7,8,9,10,10-Hexachloro-4-oxatricyclo[5.2.1.02,6]dec-8-ene-3,5-dione"
69339,C32H62O3,CCCCCCCCCCCCCCCC(=O)OC(=O)CCCCCCCCCCCCCCC,"InChI=1S/C32H62O3/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31(33)35-32(34)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h3-30H2,1-2H3",QWZBEFCPZJWDKC-UHFFFAOYSA-N,hexadecanoyl hexadecanoate,Palmitic anhydride
74960,C20H38O3,CCCCCCCCCC(=O)OC(=O)CCCCCCCCC,"InChI=1S/C20H38O3/c1-3-5-7-9-11-13-15-17-19(21)23-20(22)18-16-14-12-10-8-6-4-2/h3-18H2,1-2H3",HTWWKYKIBSHDPC-UHFFFAOYSA-N,decanoyl decanoate,Decanoic anhydride
79743,C9H12O3,C1CCC2(C1)CC(=O)OC(=O)C2,InChI=1S/C9H12O3/c10-7-5-9(3-1-2-4-9)6-8(11)12-7/h1-6H2,GFWLMILMVMCJDI-UHFFFAOYSA-N,"8-oxaspiro[4.5]decane-7,9-dione","8-Oxaspiro[4.5]decane-7,9-dione"
