CID,MolecularFormula,IsomericSMILES,InChI,InChIKey,IUPACName,nm_unique
10313051,O3Ti2,[O-2].[O-2].[O-2].[Ti+3].[Ti+3],InChI=1S/3O.2Ti/q3*-2;2*+3,VYBRUENHYKZFJW-UHFFFAOYSA-N,oxygen(2-);titanium(3+),Ti2O3
10313093,Fe,[56Fe],InChI=1S/Fe/i1+0,XEEYBQQBJWHFJM-IGMARMGPSA-N,iron-56,Fe
10313132,Cu,[68Cu],InChI=1S/Cu/i1+4,RYGMFSIKBFXOCR-RNFDNDRNSA-N,copper-68,Cu
10313135,GeO2-4,[O-2].[O-2].[Ge],InChI=1S/Ge.2O/q;2*-2,MMAXYLMPSIBOBW-UHFFFAOYSA-N,,GeO2
10313194,AgO-2,[O-2].[Ag],InChI=1S/Ag.O/q;-2,VFUDFLAHWQWXLU-UHFFFAOYSA-N,oxygen(2-);silver,AgO
10313272,Mn2O,[O-2].[Mn].[Mn+2],InChI=1S/2Mn.O/q;+2;-2,YAGCGUVKOCVNNN-UHFFFAOYSA-N,manganese;manganese(2+);oxygen(2-),Mn2O
10329240,Cu2O,[O-2].[Cu+].[Cu+],InChI=1S/2Cu.O/q2*+1;-2,KRFJLUBVMFXRPN-UHFFFAOYSA-N,copper(1+);oxygen(2-),Cu2O
10855842,Ni2O3,[O-2].[O-2].[O-2].[Ni+3].[Ni+3],InChI=1S/2Ni.3O/q2*+3;3*-2,GNMQOUGYKPVJRR-UHFFFAOYSA-N,nickel(3+);oxygen(2-),Ni2O3
11099499,Mn,[57Mn],InChI=1S/Mn/i1+2,PWHULOQIROXLJO-NJFSPNSNSA-N,manganese-57,Mn
11147669,Ni2O3,O=[Ni]O[Ni]=O,InChI=1S/2Ni.3O,PZFKDUMHDHEBLD-UHFFFAOYSA-N,oxo(oxonickeliooxy)nickel,Ni2O3
11171109,Ce2O3,O=[Ce]O[Ce]=O,InChI=1S/2Ce.3O,BMMGVYCKOGBVEV-UHFFFAOYSA-N,oxo(oxoceriooxy)cerium,Ce2O3
11240419,Ga+3,[66Ga+3],InChI=1S/Ga/q+3/i1-4,CKHJYUSOUQDYEN-AHCXROLUSA-N,gallium-66(3+),Ga
11309469,Gd,[156Gd],InChI=1S/Gd/i1-1,UIWYJDYFSGRHKR-BJUDXGSMSA-N,gadolinium-156,Gd
11400878,Ga+3,[67Ga+3],InChI=1S/Ga/q+3/i1-3,CKHJYUSOUQDYEN-OIOBTWANSA-N,gallium-67(3+),Ga
11457651,Ni,[53Ni],InChI=1S/Ni/i1-6,PXHVJJICTQNCMI-VENIDDJXSA-N,nickel-53,Ni
11521065,Gd,[154Gd],InChI=1S/Gd/i1-3,UIWYJDYFSGRHKR-OIOBTWANSA-N,gadolinium-154,Gd
11528329,Ga+3,[68Ga+3],InChI=1S/Ga/q+3/i1-2,CKHJYUSOUQDYEN-YPZZEJLDSA-N,gallium-68(3+),Ga
11542767,O2Si,[18O]=[Si]=[18O],"InChI=1S/O2Si/c1-3-2/i1+2,2+2",VYPSYNLAJGMNEJ-XPULMUKRSA-N,bis(18O)(oxidanylidene)silane,SiO2
11579113,Co,[59Co],InChI=1S/Co/i1+0,GUTLYIVDDKVIGB-IGMARMGPSA-N,cobalt-59,Co
11579114,Al,[27Al],InChI=1S/Al/i1+0,XAGFODPZIPBFFR-IGMARMGPSA-N,aluminum-27,Al
11600727,Cr,[54Cr],InChI=1S/Cr/i1+2,VYZAMTAEIAYCRO-NJFSPNSNSA-N,chromium-54,Cr
11651651,FeO,[18O-2].[Fe+2],InChI=1S/Fe.O/q+2;-2/i;1+2,VBMVTYDPPZVILR-NLQOEHMXSA-N,iron(2+);oxygen-18(2-),FeO
11665392,Fe2O3,[18O-2].[18O-2].[18O-2].[Fe+3].[Fe+3],InChI=1S/2Fe.3O/q2*+3;3*-2/i;;3*1+2,LIKBJVNGSGBSGK-GXHKVCSBSA-N,iron(3+);oxygen-18(2-),Fe2O3
11665394,Co3O4,O=[Co].O=[Co]O[Co]=O,InChI=1S/3Co.4O,LBFUKZWYPLNNJC-UHFFFAOYSA-N,oxocobalt;oxo(oxocobaltiooxy)cobalt,Co3O4
11708046,Mn+2,[52Mn+2],InChI=1S/Mn/q+2/i1-3,WAEMQWOKJMHJLA-OIOBTWANSA-N,manganese-52(2+),Mn
11717754,Ga,[64Ga],InChI=1S/Ga/i1-6,GYHNNYVSQQEPJS-VENIDDJXSA-N,gallium-64,Ga
11717838,CrO2+2,[O-2].[O-2].[Cr+6],InChI=1S/Cr.2O/q+6;2*-2,YWCVEOMUJQJOJW-UHFFFAOYSA-N,chromium(6+);oxygen(2-),CrO2
11963629,Dy2O3,[O-2].[O-2].[O-2].[164Dy+3].[164Dy+3],InChI=1S/2Dy.3O/q2*+3;3*-2/i2*1+1;;;,GEZAXHSNIQTPMM-ZWSKWMMYSA-N,dysprosium-164(3+);oxygen(2-),Dy2O3
11963693,Ho2O3,[O-2].[O-2].[O-2].[166Ho+3].[166Ho+3],InChI=1S/2Ho.3O/q2*+3;3*-2/i2*1+1;;;,OWCYYNSBGXMRQN-ZWSKWMMYSA-N,holmium-166(3+);oxygen(2-),Ho2O3
11963738,Fe+4,[Fe+4],InChI=1S/Fe/q+4,SGGMZBKLQLBBLK-UHFFFAOYSA-N,iron(4+),Fe
11966234,Fe+6,[Fe+6],InChI=1S/Fe/q+6,FOKDVQZWYLHGGQ-UHFFFAOYSA-N,iron(6+),Fe
12077175,Fe+5,[Fe+5],InChI=1S/Fe/q+5,CYCSEDRJRMCANL-UHFFFAOYSA-N,iron(5+),Fe
12195978,Gd+2,[Gd+2],InChI=1S/Gd/q+2,UVTDZAPQOTUWGV-UHFFFAOYSA-N,gadolinium(2+),Gd
12447866,Ni,[62Ni],InChI=1S/Ni/i1+3,PXHVJJICTQNCMI-AKLPVKDBSA-N,nickel-62,Ni
12447868,Ni,[64Ni],InChI=1S/Ni/i1+5,PXHVJJICTQNCMI-BKFZFHPZSA-N,nickel-64,Ni
12895826,Zn,[66Zn],InChI=1S/Zn/i1+1,HCHKCACWOHOZIP-OUBTZVSYSA-N,zinc-66,Zn
13370006,Zn,[68Zn],InChI=1S/Zn/i1+3,HCHKCACWOHOZIP-AKLPVKDBSA-N,zinc-68,Zn
13741908,O2Si,O1O[Si]1,InChI=1S/O2Si/c1-2-3-1,YAAYWTGAIBGPNI-UHFFFAOYSA-N,,SiO2
15764055,FeO+,O=[Fe+],InChI=1S/Fe.O/q+1;,PQLDYNYRMUQWQP-UHFFFAOYSA-N,oxoiron(1+),FeO
15836083,OTi+,O=[Ti+],InChI=1S/O.Ti/q;+1,BSQBFKJKNDURTG-UHFFFAOYSA-N,oxotitanium(1+),TiO
16019983,MoSi2,[Si]#[Si].[Mo],InChI=1S/Mo.Si2/c;1-2,JSCBLHMZTDIYQR-UHFFFAOYSA-N,,MoSi2
16036259,Mn2O3,O=[Mn]O[Mn]=O,InChI=1S/2Mn.3O,GEYXPJBPASPPLI-UHFFFAOYSA-N,oxo(oxomanganiooxy)manganese,Mn2O3
16048635,Si+,[Si+],InChI=1S/Si/q+1,FSLGCYNKXXIWGJ-UHFFFAOYSA-N,silicon(1+),Si
16048636,O3Y2,[O-2].[O-2].[O-2].[90Y+3].[90Y+3],InChI=1S/3O.2Y/q3*-2;2*+3/i;;;2*1+1,RUDFQVOCFDJEEF-AXFPHJBVSA-N,oxygen(2-);yttrium-90(3+),Y2O3
16048637,Si,[30Si],InChI=1S/Si/i1+2,XUIMIQQOPSSXEZ-NJFSPNSNSA-N,silicon-30,Si
16048890,Si,[28Si],InChI=1S/Si/i1+0,XUIMIQQOPSSXEZ-IGMARMGPSA-N,silicon-28,Si
16179003,Al,[28Al],InChI=1S/Al/i1+1,XAGFODPZIPBFFR-OUBTZVSYSA-N,aluminum-28,Al
16207196,Zn+2,[66Zn+2],InChI=1S/Zn/q+2/i1+1,PTFCDOFLOPIGGS-OUBTZVSYSA-N,zinc-66(2+),Zn
16211978,Cu,[66Cu],InChI=1S/Cu/i1+2,RYGMFSIKBFXOCR-NJFSPNSNSA-N,copper-66,Cu
16684203,Si+2,[Si+2],InChI=1S/Si/q+2,SCWWYQXYCQMLOY-UHFFFAOYSA-N,silicon(2+),Si
16712618,Fe3O4,O=[Fe].O=[Fe]O[Fe]=O,InChI=1S/3Fe.4O,SZVJSHCCFOBDDC-UHFFFAOYSA-N,oxoiron;oxo(oxoferriooxy)iron,Fe3O4
16747781,OTl2,O([Tl])[Tl],InChI=1S/O.2Tl,KFAIYPBIFILLEZ-UHFFFAOYSA-N,lambda1-thallanyloxythallium,Tl2O
18346908,Al2O3,O1[Al]2O[Al]1O2,InChI=1S/2Al.3O,TWNQGVIAIRXVLR-UHFFFAOYSA-N,"2,4,5-trioxa-1,3-dialuminabicyclo[1.1.1]pentane",Al2O3
18709950,O2Sn,[O-2].[O-2].[Sn+4],InChI=1S/2O.Sn/q2*-2;+4,DDSPUNTXKUFWTM-UHFFFAOYSA-N,oxygen(2-);tin(4+),SnO2
